match_id,date,team_a,team_b,stage,group,venue,status,team_a_is_tbd,team_b_is_tbd,fixture_has_tbd_team,team_a_current_elo,team_b_current_elo,elo_difference,elo_expected_score_team_a,team_a_rating_missing,team_b_rating_missing,team_a_elo_rating,team_b_elo_rating,elo_rating_diff,team_a_elo_rank,team_b_elo_rank,elo_rank_diff,team_a_fifa_rank,team_b_fifa_rank,fifa_rank_diff,team_a_fifa_points,team_b_fifa_points,fifa_points_diff,team_a_form_points_last_3,team_a_win_rate_last_3,team_a_form_points_last_5,team_a_win_rate_last_5,team_a_form_points_last_10,team_a_win_rate_last_10,team_a_draw_rate_last_5,team_a_loss_rate_last_5,team_b_form_points_last_3,team_b_win_rate_last_3,team_b_form_points_last_5,team_b_win_rate_last_5,team_b_form_points_last_10,team_b_win_rate_last_10,team_b_draw_rate_last_5,team_b_loss_rate_last_5,form_points_last_5_diff,win_rate_last_5_diff,loss_rate_last_5_diff,team_a_goals_for,team_a_goals_against,team_a_clean_sheet_flag,team_a_goals_for_avg_last_3,team_a_goals_against_avg_last_3,team_a_goal_diff_avg_last_3,team_a_goals_for_avg_last_5,team_a_goals_against_avg_last_5,team_a_goal_diff_avg_last_5,team_a_goals_for_avg_last_10,team_a_goals_against_avg_last_10,team_a_goal_diff_avg_last_10,team_a_goals_for_sum_last_5,team_a_clean_sheet_rate_last_5,team_b_goals_for,team_b_goals_against,team_b_clean_sheet_flag,team_b_goals_for_avg_last_3,team_b_goals_against_avg_last_3,team_b_goal_diff_avg_last_3,team_b_goals_for_avg_last_5,team_b_goals_against_avg_last_5,team_b_goal_diff_avg_last_5,team_b_goals_for_avg_last_10,team_b_goals_against_avg_last_10,team_b_goal_diff_avg_last_10,team_b_goals_for_sum_last_5,team_b_clean_sheet_rate_last_5,goals_for_avg_last_5_diff,goals_against_avg_last_5_diff,goal_diff_avg_last_5_diff,clean_sheet_rate_last_5_diff,h2h_matches_last_10,h2h_team_a_wins_last_10,h2h_team_b_wins_last_10,h2h_draws_last_10,h2h_team_a_win_rate_last_10,h2h_goal_diff_team_a_last_10,is_world_cup_match,is_friendly,is_qualifier,is_knockout,is_group_stage,is_neutral,stage_encoded,tournament_importance_score,team_a_days_since_last_match,team_a_matches_last_30_days,team_b_days_since_last_match,team_b_matches_last_30_days,rest_days_diff,match_congestion_diff,is_predictable_now
1,2026-06-11,Mexico,South Africa,Group Stage,Group A,Estadio Azteca,scheduled,False,False,False,1687.481759,1428.379282,259.1024769999999,0.816305369879321,False,False,,,,,,,14.0,60.0,46.0,1687.481759,1428.379282,259.1024769999999,9.0,1.0,15.0,1.0,26.0,0.8,0.0,0.0,4.0,0.3333333333333333,8.0,0.4,12.0,0.3,0.4,0.2,7.0,0.6,-0.2,2.0,0.0,1.0,2.0,0.0,2.0,2.4,0.2,2.2,2.0,0.2,1.8,12.0,0.8,0.0,1.0,0.0,0.6666666666666666,1.0,-0.3333333333333333,0.6,0.6,0.0,0.9,1.1,-0.2,3.0,0.6,1.7999999999999998,-0.39999999999999997,2.2,0.20000000000000007,4,2,1,1,0.5,1.25,True,False,False,False,True,False,0,4,7,3,5,2,2,1,True
2,2026-06-12,South Korea,Winner UEFA Playoff D,Group Stage,Group A,Estadio Akron,scheduled,False,False,False,1591.630886,,,,False,True,,,,,,,25.0,,,1591.630886,,,6.0,0.6666666666666666,9.0,0.6,18.0,0.6,0.0,0.4,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.6666666666666666,0.3333333333333333,1.6,0.6,1.0,1.3,1.2,0.1,8.0,0.4,,,,,,,,,,,,,,,,,,,0,0,0,0,,,True,False,False,False,True,False,0,4,1,3,,0,,3,False
3,2026-06-12,Canada,Winner UEFA Playoff A,Group Stage,Group B,BMO Field,scheduled,False,False,False,1559.479301,,,,False,True,,,,,,,30.0,,,1559.479301,,,6.0,0.6666666666666666,8.0,0.4,17.0,0.4,0.4,0.2,,,,,,,,,,,,0.0,3.0,0.0,2.6666666666666665,0.6666666666666666,2.0,2.0,0.8,1.2,1.6,0.6,1.0,10.0,0.4,,,,,,,,,,,,,,,,,,,0,0,0,0,,,True,False,False,False,True,False,0,4,7,2,,0,,2,False
4,2026-06-13,United States,Paraguay,Group Stage,Group D,SoFi Stadium,scheduled,False,False,False,1671.2341,1505.349689,165.884411,0.7221010300687862,False,False,,,,,,,17.0,40.0,23.0,1671.2341,1505.349689,165.884411,6.0,0.6666666666666666,9.0,0.6,18.0,0.6,0.0,0.4,5.0,0.3333333333333333,8.0,0.4,14.0,0.4,0.4,0.2,1.0,0.19999999999999996,0.2,2.0,0.0,1.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,2.4,1.6,0.8,2.3,1.8,0.5,12.0,0.2,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.4,1.0,0.4,1.2,1.2,0.0,7.0,0.6,1.0,0.6000000000000001,0.4,-0.39999999999999997,10,6,2,2,0.6,0.8,True,False,False,False,True,False,0,4,1,3,1,2,0,1,True
5,2026-06-13,Qatar,Switzerland,Group Stage,Group B,Levi's Stadium,scheduled,False,False,False,1450.307729,1650.064179,-199.75644999999986,0.24050907328182963,False,False,,,,,,,57.0,19.0,-38.0,1450.307729,1650.064179,-199.75644999999986,2.0,0.0,2.0,0.0,7.0,0.1,0.4,0.6,7.0,0.6666666666666666,11.0,0.6,17.0,0.4,0.4,0.0,-9.0,-0.6,0.6,1.0,3.0,0.0,0.3333333333333333,2.3333333333333335,-2.0,0.2,2.2,-2.0,0.5,1.6,-1.1,1.0,0.2,2.0,0.0,1.0,2.3333333333333335,1.0,1.3333333333333333,2.4,1.0,1.4,2.0,1.1,0.9,12.0,0.0,-2.1999999999999997,1.2000000000000002,-3.4,0.2,1,1,0,0,1.0,1.0,True,False,False,False,True,False,0,4,7,2,7,2,0,0,True
6,2026-06-13,Brazil,Morocco,Group Stage,Group C,MetLife Stadium,scheduled,False,False,False,1765.856297,1755.100232,10.756065000000035,0.5154742784996875,False,False,,,,,,,6.0,7.0,1.0,1765.856297,1755.100232,10.756065000000035,7.0,0.6666666666666666,13.0,0.8,20.0,0.6,0.2,0.0,7.0,0.6666666666666666,9.0,0.4,22.0,0.6,0.6,0.0,4.0,0.4,0.0,2.0,1.0,0.0,2.3333333333333335,0.3333333333333333,2.0,3.0,0.8,2.2,2.4,1.1,1.3,15.0,0.4,3.0,0.0,1.0,2.0,1.0,1.0,1.6,1.0,0.6,2.3,0.7,1.6,8.0,0.2,1.4,-0.19999999999999996,1.6,0.2,3,2,1,0,0.6666666666666666,1.3333333333333333,True,False,False,False,True,False,0,4,7,2,6,3,1,-1,True
7,2026-06-14,Haiti,Scotland,Group Stage,Group C,Gillette Stadium,scheduled,False,False,False,1293.096585,1503.34027,-210.2436849999999,0.22965506124938262,False,False,,,,,,,83.0,42.0,-41.0,1293.096585,1503.34027,-210.2436849999999,0.0,0.0,4.0,0.2,13.0,0.4,0.2,0.6,6.0,0.6666666666666666,9.0,0.6,18.0,0.6,0.0,0.4,-5.0,-0.39999999999999997,0.19999999999999996,2.0,4.0,0.0,0.3333333333333333,2.0,-1.6666666666666667,1.2,1.4,-0.2,1.2,1.1,0.1,6.0,0.2,0.0,3.0,0.0,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.8,0.6,1.2,2.0,1.1,0.9,9.0,0.4,-0.6000000000000001,0.7999999999999999,-1.4,-0.2,1,0,1,0,0.0,-1.0,True,False,False,False,True,False,0,4,1,3,1,3,0,0,True
8,2026-06-14,Australia,Winner UEFA Playoff C,Group Stage,Group D,BC Place,scheduled,False,False,False,1579.34264,,,,False,True,,,,,,,27.0,,,1579.34264,,,4.0,0.3333333333333333,5.0,0.2,11.0,0.3,0.4,0.4,,,,,,,,,,,,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6,0.8,-0.2,1.0,1.1,-0.1,3.0,0.4,,,,,,,,,,,,,,,,,,,0,0,0,0,,,True,False,False,False,True,False,0,4,1,3,,0,,3,False
9,2026-06-14,Germany,Curaçao,Group Stage,Group E,NRG Stadium,scheduled,False,False,False,1735.771984,1294.76909,441.00289399999997,0.9268050440537624,False,False,,,,,,,10.0,82.0,72.0,1735.771984,1294.76909,441.00289399999997,6.0,0.6666666666666666,12.0,0.8,27.0,0.9,0.0,0.2,4.0,0.3333333333333333,4.0,0.2,12.0,0.3,0.2,0.6,8.0,0.6000000000000001,-0.39999999999999997,1.0,1.0,0.0,3.3333333333333335,1.3333333333333333,2.0,3.2,1.0,2.2,3.1,0.9,2.2,16.0,0.2,0.0,2.0,0.0,1.6666666666666667,2.3333333333333335,-0.6666666666666666,1.4,3.2,-1.8,1.7,1.9,-0.2,7.0,0.4,1.8000000000000003,-2.2,4.0,-0.2,0,0,0,0,,,True,False,False,False,True,False,0,4,8,2,8,2,0,0,True
10,2026-06-14,Netherlands,Japan,Group Stage,Group F,AT&T Stadium,scheduled,False,False,False,1751.097835,1661.576187,89.52164800000014,0.6260546562264867,False,False,,,,,,,8.0,18.0,10.0,1751.097835,1661.576187,89.52164800000014,7.0,0.6666666666666666,10.0,0.6,21.0,0.6,0.2,0.2,5.0,0.3333333333333333,11.0,0.6,24.0,0.7,0.4,0.0,-1.0,0.0,0.2,1.0,1.0,0.0,3.3333333333333335,1.3333333333333333,2.0,2.4,1.2,1.2,2.4,0.9,1.5,12.0,0.0,1.0,2.0,0.0,2.3333333333333335,1.0,1.3333333333333333,1.8,0.6,1.2,2.0,0.7,1.3,9.0,0.6,0.5999999999999999,0.6,0.0,-0.6,3,2,0,1,0.6666666666666666,1.3333333333333333,True,False,False,False,True,False,0,4,6,2,14,1,-8,1,True
11,2026-06-14,Ivory Coast,Ecuador,Group Stage,Group E,Lincoln Financial Field,scheduled,False,False,False,1540.869533,1598.51582,-57.64628700000003,0.41779330581923885,False,False,,,,,,,33.0,23.0,-10.0,1540.869533,1598.51582,-57.64628700000003,6.0,0.6666666666666666,12.0,0.8,22.0,0.7,0.0,0.2,4.0,0.3333333333333333,10.0,0.6,17.0,0.4,0.2,0.2,2.0,0.20000000000000007,0.0,1.0,2.0,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.4,0.6,0.8,2.0,0.9,1.1,7.0,0.6,0.0,2.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.4,0.6,0.8,1.2,0.6,0.6,7.0,0.4,0.0,0.0,0.0,0.19999999999999996,0,0,0,0,,,True,False,False,False,True,False,0,4,10,1,7,2,3,-1,True
12,2026-06-15,Winner UEFA Playoff B,Tunisia,Group Stage,Group F,Estadio BBVA,scheduled,False,False,False,,1476.405088,,,True,False,,,,,,,,46.0,,,1476.405088,,,,,,,,,,0.0,0.0,1.0,0.0,9.0,0.2,0.2,0.8,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,0.3333333333333333,4.666666666666667,-4.333333333333333,0.2,3.0,-2.8,0.9,2.1,-1.2,1.0,0.2,,,,,0,0,0,0,,,True,False,False,False,True,False,0,4,,0,1,3,,-3,False
13,2026-06-15,Spain,Cabo Verde,Group Stage,Group H,Mercedes-Benz Stadium,scheduled,False,False,False,1873.013187,1371.10798,501.905207,0.9473098959004154,False,False,,,,,,,2.0,67.0,65.0,1873.013187,1371.10798,501.905207,7.0,0.6666666666666666,11.0,0.6,22.0,0.6,0.4,0.0,,,,,,,,,,,,3.0,0.0,1.0,1.6666666666666667,0.0,1.6666666666666667,1.8,0.4,1.4,2.2,0.4,1.8,9.0,0.6,,,,,,,,,,,,,,,,,,,0,0,0,0,,,True,False,False,False,True,False,0,4,7,2,,0,,2,False
14,2026-06-15,Belgium,Egypt,Group Stage,Group G,Lumen Field,scheduled,False,False,False,1742.235945,1562.367246,179.86869899999988,0.7379629013516267,False,False,,,,,,,9.0,29.0,20.0,1742.235945,1562.367246,179.86869899999988,5.0,0.3333333333333333,11.0,0.6,22.0,0.6,0.4,0.0,5.0,0.3333333333333333,8.0,0.4,16.0,0.4,0.4,0.2,3.0,0.19999999999999996,-0.2,3.0,2.0,0.0,2.0,0.6666666666666666,1.3333333333333333,2.6,0.4,2.2,3.1,0.8,2.3,13.0,0.6,1.0,1.0,0.0,1.6666666666666667,1.0,0.6666666666666666,1.4,1.0,0.4,1.4,0.8,0.6,7.0,0.2,1.2000000000000002,-0.6,1.8000000000000003,0.39999999999999997,4,1,3,0,0.25,-0.75,True,False,False,False,True,False,0,4,9,2,9,2,0,0,True
15,2026-06-15,Saudi Arabia,Uruguay,Group Stage,Group H,Hard Rock Stadium,scheduled,False,False,False,1421.538339,1673.068603,-251.530264,0.19032117902085754,False,False,,,,,,,61.0,16.0,-45.0,1421.538339,1673.068603,-251.530264,2.0,0.0,5.0,0.2,8.0,0.2,0.4,0.4,3.0,0.0,4.0,0.0,15.0,0.3,0.8,0.2,1.0,0.2,0.2,0.0,0.0,1.0,0.3333333333333333,1.6666666666666667,-1.3333333333333333,1.0,1.4,-0.4,0.8,1.6,-0.8,5.0,0.4,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.8,-0.8,1.1,1.0,0.1,5.0,0.2,0.0,-0.40000000000000013,0.4,0.2,3,1,1,1,0.3333333333333333,0.0,True,False,False,False,True,False,0,4,6,3,76,0,-70,3,True
16,2026-06-16,Iran,New Zealand,Group Stage,Group G,SoFi Stadium,scheduled,False,False,False,1619.58163,1275.581062,344.00056799999993,0.8787052997013074,False,False,,,,,,,20.0,85.0,65.0,1619.58163,1275.581062,344.00056799999993,5.0,0.3333333333333333,11.0,0.6,16.0,0.4,0.4,0.0,1.0,0.0,4.0,0.2,5.0,0.1,0.2,0.6,7.0,0.39999999999999997,-0.6,1.0,1.0,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.4,0.6,1.8,1.6,0.7,0.9,12.0,0.6,1.0,5.0,0.0,1.0,2.0,-1.0,1.4,2.2,-0.8,0.9,1.9,-1.0,7.0,0.0,1.0,-1.6,2.6,0.6,3,1,0,2,0.3333333333333333,1.0,True,False,False,False,True,False,0,4,1,3,1,3,0,0,True
17,2026-06-16,France,Senegal,Group Stage,Group I,MetLife Stadium,scheduled,False,False,False,1869.428449,1686.412769,183.01567999999997,0.7414508265796829,False,False,,,,,,,3.0,15.0,12.0,1869.428449,1686.412769,183.01567999999997,9.0,1.0,15.0,1.0,27.0,0.9,0.0,0.0,3.0,0.3333333333333333,4.0,0.2,16.0,0.5,0.2,0.6,11.0,0.8,-0.6,1.0,0.0,1.0,3.3333333333333335,0.3333333333333333,3.0,3.2,0.6,2.6,2.9,0.8,2.1,16.0,0.4,2.0,3.0,0.0,2.6666666666666665,2.0,0.6666666666666666,2.0,1.8,0.2,1.7,1.3,0.4,10.0,0.4,1.2000000000000002,-1.2000000000000002,2.4,0.0,2,0,2,0,0.0,-1.5,True,False,False,False,True,False,0,4,8,2,7,2,1,0,True
18,2026-06-16,Winner FIFA Playoff 2,Norway,Group Stage,Group I,Gillette Stadium,scheduled,False,False,False,,1557.437664,,,True,False,,,,,,,,31.0,,,1557.437664,,,,,,,,,,6.0,0.6666666666666666,10.0,0.6,18.0,0.5,0.2,0.2,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,2.6666666666666665,2.3333333333333335,0.3333333333333333,2.4,1.8,0.6,2.2,1.4,0.8,12.0,0.0,,,,,0,0,0,0,,,True,False,False,False,True,False,0,4,,0,9,2,,-2,False
19,2026-06-17,Argentina,Algeria,Group Stage,Group J,Arrowhead Stadium,scheduled,False,False,False,1876.118331,1571.033293,305.08503799999994,0.8527344355770138,False,False,,,,,,,1.0,28.0,27.0,1876.118331,1571.033293,305.08503799999994,9.0,1.0,15.0,1.0,30.0,1.0,0.0,0.0,4.0,0.3333333333333333,10.0,0.6,20.0,0.6,0.2,0.2,5.0,0.4,-0.2,3.0,2.0,0.0,2.6666666666666665,0.3333333333333333,2.3333333333333335,2.6,0.2,2.4,2.9,0.2,2.7,13.0,0.8,0.0,2.0,0.0,1.6666666666666667,2.3333333333333335,-0.6666666666666666,2.0,1.4,0.6,2.1,1.0,1.1,10.0,0.4,0.6000000000000001,-1.2,1.7999999999999998,0.4,2,2,0,0,1.0,2.0,True,False,False,False,True,False,0,4,1,3,1,3,0,0,True
20,2026-06-17,Austria,Jordan,Group Stage,Group J,Levi's Stadium,scheduled,False,False,False,1597.404087,1387.738222,209.66586499999994,0.7697559597325891,False,False,,,,,,,24.0,63.0,39.0,1597.404087,1387.738222,209.66586499999994,4.0,0.3333333333333333,10.0,0.6,20.0,0.6,0.2,0.2,0.0,0.0,1.0,0.0,11.0,0.3,0.2,0.8,9.0,0.6,-0.6000000000000001,0.0,3.0,0.0,2.0,2.0,0.0,1.6,1.2,0.4,2.6,0.9,1.7,8.0,0.4,1.0,3.0,0.0,0.6666666666666666,2.3333333333333335,-1.6666666666666667,1.0,2.6,-1.6,1.4,1.8,-0.4,5.0,0.0,0.6000000000000001,-1.4000000000000001,2.0,0.4,1,1,0,0,1.0,2.0,True,False,False,False,True,False,0,4,1,2,1,3,0,-1,True
21,2026-06-17,Portugal,Winner FIFA Playoff 1,Group Stage,Group K,NRG Stadium,scheduled,False,False,False,1766.177547,,,,False,True,,,,,,,5.0,,,1766.177547,,,5.0,0.3333333333333333,11.0,0.6,19.0,0.5,0.4,0.0,,,,,,,,,,,,2.0,1.0,0.0,2.0,0.3333333333333333,1.6666666666666667,2.0,0.6,1.4,2.3,0.8,1.5,10.0,0.4,,,,,,,,,,,,,,,,,,,0,0,0,0,,,True,False,False,False,True,False,0,4,7,2,,0,,2,False
22,2026-06-17,England,Croatia,Group Stage,Group L,AT&T Stadium,scheduled,False,False,False,1827.048678,1714.865572,112.18310600000018,0.6560583853445201,False,False,,,,,,,4.0,11.0,7.0,1827.048678,1714.865572,112.18310600000018,7.0,0.6666666666666666,13.0,0.8,23.0,0.7,0.2,0.0,6.0,0.6666666666666666,9.0,0.6,21.0,0.7,0.0,0.4,4.0,0.20000000000000007,-0.4,2.0,1.0,0.0,2.0,0.6666666666666666,1.3333333333333333,2.0,0.4,1.6,2.0,0.4,1.6,10.0,0.8,1.0,2.0,0.0,1.6666666666666667,1.6666666666666667,0.0,1.4,1.6,-0.2,1.9,1.5,0.4,7.0,0.2,0.6000000000000001,-1.2000000000000002,1.8,0.6000000000000001,10,6,3,1,0.6,0.9,True,False,False,False,True,False,0,4,7,2,10,2,-3,0,True
23,2026-06-17,Ghana,Panama,Group Stage,Group L,BMO Field,scheduled,False,False,False,1346.881205,1539.155509,-192.27430400000003,0.24846423920446833,False,False,,,,,,,73.0,34.0,-39.0,1346.881205,1539.155509,-192.27430400000003,4.0,0.3333333333333333,5.0,0.2,8.0,0.2,0.4,0.4,1.0,0.0,4.0,0.2,12.0,0.3,0.2,0.6,1.0,0.0,-0.19999999999999996,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6,1.0,-0.4,0.6,1.5,-0.9,3.0,0.4,0.0,2.0,0.0,0.3333333333333333,1.0,-0.6666666666666666,1.4,2.2,-0.8,1.4,1.5,-0.1,7.0,0.0,-0.7999999999999999,-1.2000000000000002,0.4,0.4,0,0,0,0,,,True,False,False,False,True,False,0,4,15,2,11,3,4,-1,True
24,2026-06-18,Uzbekistan,Colombia,Group Stage,Group K,Estadio Azteca,scheduled,False,False,False,1461.208132,1698.351858,-237.14372600000002,0.20341120711676247,False,False,,,,,,,50.0,13.0,-37.0,1461.208132,1698.351858,-237.14372600000002,0.0,0.0,1.0,0.0,9.0,0.2,0.2,0.8,7.0,0.6666666666666666,13.0,0.8,20.0,0.6,0.2,0.0,-12.0,-0.8,0.8,1.0,3.0,0.0,0.6666666666666666,3.3333333333333335,-2.6666666666666665,0.4,2.4,-2.0,1.0,1.7,-0.7,2.0,0.2,1.0,0.0,1.0,1.3333333333333333,0.3333333333333333,1.0,1.8,0.4,1.4,1.6,0.8,0.8,9.0,0.6,-1.4,2.0,-3.4,-0.39999999999999997,1,0,1,0,0.0,-2.0,True,False,False,False,True,False,0,4,1,3,1,3,0,0,True
25,2026-06-18,Winner UEFA Playoff D,South Africa,Group Stage,Group A,Mercedes-Benz Stadium,scheduled,False,False,False,,1428.379282,,,True,False,,,,,,,,60.0,,,1428.379282,,,,,,,,,,4.0,0.3333333333333333,8.0,0.4,12.0,0.3,0.4,0.2,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.6666666666666666,1.0,-0.3333333333333333,0.6,0.6,0.0,0.9,1.1,-0.2,3.0,0.6,,,,,0,0,0,0,,,True,False,False,False,True,False,0,4,,0,7,3,,-3,False
26,2026-06-18,Switzerland,Winner UEFA Playoff A,Group Stage,Group B,SoFi Stadium,scheduled,False,False,False,1650.064179,,,,False,True,,,,,,,19.0,,,1650.064179,,,7.0,0.6666666666666666,11.0,0.6,17.0,0.4,0.4,0.0,,,,,,,,,,,,2.0,0.0,1.0,2.3333333333333335,1.0,1.3333333333333333,2.4,1.0,1.4,2.0,1.1,0.9,12.0,0.0,,,,,,,,,,,,,,,,,,,0,0,0,0,,,True,False,False,False,True,False,0,4,5,3,,0,,3,False
